image,x,y
003_0.jpg,1563.2653,1161.217
003_0.jpg,1632.0878,1159.2118
003_0.jpg,1700.1595,1157.1996
003_0.jpg,750.0823,1268.2546
003_0.jpg,828.8571,1265.2345
003_0.jpg,906.7607,1262.2865
003_0.jpg,983.7779,1259.3142
003_0.jpg,1059.9865,1256.4503
003_0.jpg,1135.0712,1253.628
003_0.jpg,1209.0243,1250.7635
003_0.jpg,1282.2817,1248.0328
003_0.jpg,1354.6631,1245.264
003_0.jpg,1426.1149,1242.5393
003_0.jpg,1496.679,1240.0116
003_0.jpg,1566.4286,1237.4615
003_0.jpg,1635.2585,1234.9758
003_0.jpg,1703.2677,1232.5563
003_0.jpg,752.853,1350.1033
003_0.jpg,831.7668,1346.5133
003_0.jpg,909.6786,1343.0543
003_0.jpg,986.6634,1339.5662
003_0.jpg,1062.6586,1336.1842
003_0.jpg,1137.8854,1332.879
003_0.jpg,1212.0133,1329.4888
003_0.jpg,1285.2965,1326.2681
003_0.jpg,1357.7137,1323.0566
003_0.jpg,1429.1892,1319.8246
003_0.jpg,1499.7761,1316.8068
003_0.jpg,1569.5248,1313.807
003_0.jpg,1638.3685,1310.9058
003_0.jpg,1706.1982,1308.0187
003_0.jpg,755.8338,1431.9128
003_0.jpg,834.6767,1427.8661
003_0.jpg,912.6517,1423.769
003_0.jpg,989.63684,1419.9495
003_0.jpg,1065.6893,1416.0082
003_0.jpg,1140.9484,1412.129
003_0.jpg,1214.9961,1408.3241
003_0.jpg,1288.3436,1404.5388
003_0.jpg,1360.7113,1400.8394
003_0.jpg,1432.2731,1397.1393
003_0.jpg,1502.8383,1393.6473
003_0.jpg,1572.4934,1390.1909
003_0.jpg,1641.4114,1386.803
003_0.jpg,1709.4067,1383.5138
003_0.jpg,758.7195,1513.8047
003_0.jpg,837.5553,1509.1748
003_0.jpg,915.5484,1504.5165
003_0.jpg,992.73486,1500.1906
003_0.jpg,1068.4673,1495.809
003_0.jpg,1143.9568,1491.3783
003_0.jpg,1217.984,1487.1771
003_0.jpg,1291.3748,1482.804
003_0.jpg,1363.5702,1478.7089
003_0.jpg,1435.2496,1474.5293
003_0.jpg,1505.7418,1470.4397
003_0.jpg,1575.3882,1466.6511
003_0.jpg,1644.3174,1462.8315
003_0.jpg,1712.3707,1459.0602
004_0.jpg,1587.1625,1436.932
004_0.jpg,1537.4844,1443.8425
004_0.jpg,1486.6464,1450.9568
004_0.jpg,1434.9337,1458.2045
004_0.jpg,1382.0925,1465.8895
004_0.jpg,1327.5101,1473.6277
004_0.jpg,1272.3185,1481.5776
004_0.jpg,1215.2911,1489.8575
004_0.jpg,1157.5128,1498.1857
004_0.jpg,1097.2842,1506.8682
004_0.jpg,1036.884,1515.6808
004_0.jpg,973.9602,1524.5228
004_0.jpg,909.8398,1533.9625
004_0.jpg,844.28314,1543.6044
004_0.jpg,1584.4092,1363.8756
004_0.jpg,1534.7562,1370.0432
004_0.jpg,1483.8761,1376.2932
004_0.jpg,1432.1313,1382.8297
004_0.jpg,1379.1053,1389.4648
004_0.jpg,1324.6158,1396.4528
004_0.jpg,1269.139,1403.5482
004_0.jpg,1212.104,1410.821
004_0.jpg,1154.1133,1418.3185
004_0.jpg,1094.2604,1425.9827
004_0.jpg,1033.1611,1433.8136
004_0.jpg,970.5418,1441.7418
004_0.jpg,906.2993,1450.0541
004_0.jpg,840.61005,1458.5183
004_0.jpg,1581.3752,1290.7114
004_0.jpg,1531.9073,1296.0933
004_0.jpg,1481.1018,1301.5924
004_0.jpg,1429.0956,1307.2462
004_0.jpg,1375.9568,1313.0776
004_0.jpg,1321.5684,1319.1218
004_0.jpg,1265.8596,1325.3306
004_0.jpg,1208.9188,1331.6844
004_0.jpg,1150.6835,1338.2067
004_0.jpg,1090.7418,1344.8938
004_0.jpg,1029.6705,1351.7073
004_0.jpg,966.9445,1358.7567
004_0.jpg,902.6682,1365.9371
004_0.jpg,836.79565,1373.4087
004_0.jpg,1578.7616,1217.4758
004_0.jpg,1528.9773,1222.062
004_0.jpg,1478.1278,1226.7356
004_0.jpg,1426.0352,1231.595
004_0.jpg,1372.8488,1236.5023
004_0.jpg,1318.4541,1241.7864
004_0.jpg,1262.6848,1246.9979
004_0.jpg,1205.6704,1252.3881
004_0.jpg,1147.7206,1258.0132
004_0.jpg,1087.9393,1263.7412
004_0.jpg,1026.2697,1269.523
004_0.jpg,963.38116,1275.6216
004_0.jpg,899.0389,1281.733
004_0.jpg,833.17004,1288.0513
004_0.jpg,1575.9912,1144.2266
004_0.jpg,1526.0211,1147.975
004_0.jpg,1475.0923,1151.9064
004_0.jpg,1422.9799,1155.9181
004_0.jpg,1369.7214,1159.9902
004_0.jpg,1315.1941,1164.2903
004_0.jpg,1259.3573,1168.6714
004_0.jpg,1202.3986,1173.1737
004_0.jpg,1143.3052,1177.7512
004_0.jpg,1083.7814,1182.4998
004_0.jpg,1022.6366,1187.3645
004_0.jpg,959.7738,1192.4237
004_0.jpg,895.4417,1197.4242
004_0.jpg,829.2397,1202.6761
004_0.jpg,1572.6937,1070.9076
004_0.jpg,1523.0199,1073.9187
004_0.jpg,1472.0167,1076.9498
004_0.jpg,1419.8927,1080.26
004_0.jpg,1366.5685,1083.4291
004_0.jpg,1312.019,1086.9078
004_0.jpg,1256.1783,1090.409
004_0.jpg,1199.0522,1093.9309
004_0.jpg,1140.5497,1097.6599
004_0.jpg,1080.5824,1101.362
